ID,trial_order,arm_LB_01,arm_HB_01,arm_LB_02,arm_HB_02,arm_LB_03,arm_HB_03,arm_LB_04,arm_HB_04,head_LB_01,head_HB_01,head_LB_02,head_HB_02,head_LB_03,head_HB_03,head_LB_04,head_HB_04,leg_LB_01,leg_HB_01,leg_LB_02,leg_HB_02,leg_LB_03,leg_HB_03,leg_LB_04,leg_HB_04,other_LB_01,other_HB_01,other_LB_02,other_HB_02,other_LB_03,other_HB_03,other_LB_04,other_HB_04,total_LB_01,total_HB_01,total_LB_02,total_HB_02,total_LB_03,total_HB_03,total_LB_04,total_HB_04,arm_HB_total,head_HB_total,leg_HB_total,other_HB_total,all_movements_HB_total,arm_LB_total,head_LB_total,leg_LB_total,other_LB_total,all_movements_LB_total
KA14RE15,HB_LB,1,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,3,2,2,0,1,1,4,1,3,3,5,2,4,0,0,3,7,2,2,1,8,13
KE30IE06,LB_HB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,1,1,0,2,0,2,4,0,0,0,1,1
KO24IE08,HB_LB,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,2,0,0,1,3,0,0,0,2,2
LE11ON12,HB_LB,6,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,9,3,4,4,1,1,1,2,5,0,0,5,10,9,1,1,4,15
MA25UT20,HB_LB,1,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,1,1,1,2,2,2,1,1,3,2,4,3,6,4,3,2,2,0,3,6,11,6,0,5,5,16
MI27ER17,LB_HB,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,1,0,2,0,0,1,0,0,0,1,3,1,2,1,3,4,2,4,0,4,2,10,2,0,4,1,7
NF16CH30,LB_HB,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,5,4,4,3,2,2,1,3,0,0,1,0,0,2,1,1,5,4,5,5,2,6,2,7,7,0,12,3,22,0,0,12,2,14
PE16IN18,LB_HB,1,0,0,0,0,0,1,0,0,1,0,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,3,1,0,7,0,0,7,2,4,0,0,6
RE13ON18,HB_LB,2,4,1,1,2,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,2,2,1,0,1,0,0,3,7,4,3,3,3,2,2,8,2,1,4,15,5,1,4,2,12
SA09OR12,LB_HB,1,2,1,0,0,1,1,0,3,2,2,0,0,1,0,1,1,1,0,1,1,0,2,0,0,2,0,1,0,1,0,0,5,7,3,2,1,3,3,1,3,4,2,4,13,3,5,4,0,12
SI21UR22,HB_LB,10,5,6,4,5,9,9,18,2,1,2,6,6,7,2,4,3,1,1,0,2,3,2,4,3,4,4,8,8,9,7,6,18,11,13,18,21,28,20,32,36,18,8,27,89,30,12,8,22,72
SI22IE06,LB_HB,0,3,0,5,1,5,3,6,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,2,2,0,4,1,6,2,7,5,9,19,1,3,3,26,4,0,0,4,8
TA17ER04,LB_HB,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,1,0,3,2,3,2,3,1,1,2,1,0,7,10,0,0,0,5,5
UL01RL21,HB_LB,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,3,2,2,2,1,3,0,1,3,7,1,0,2,2,5
UL22ON24,LB_HB,2,2,1,5,1,4,0,3,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,0,0,1,0,1,0,2,1,2,3,4,1,7,2,8,2,5,14,0,4,6,24,4,1,2,1,8
UR31EM17,LB_HB,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,1,2,2,4,5,2,2,0,2,2,3,5,0,0,7,12,3,0,0,5,8
