model,contrast,estimate,SE,df,CI_low,CI_high,t,p
Primary: baseline-adjusted random slope,LB - HB,-0.10663287374957924,0.15359560314553722,34.57031539670034,-0.41858712773904505,0.20532138023988655,-0.6942443114634007,0.49216840721279564
Sensitivity: unadjusted random intercept,LB - HB,-0.2185538300077889,0.09847444198803167,278.4666858471755,-0.4124026942939878,-0.02470496572159006,-2.2193964809097513,0.02726555224360917
