Condition,estimated_mean,SE,df,CI_low,CI_high
HB,2.8223529199859945,0.17414663261756405,38.21592562118553,2.4698768951513093,3.1748289448206797
LB,2.715720046236415,0.16536128040997458,35.3465866622948,2.3801364282362165,3.051303664236613
