Trial,contrast,estimate,SE,df,CI_low,CI_high,t,p_unadjusted,p_holm
1,LB - HB,0.040958169523839995,0.21102583698059368,110.41652227018874,-0.377227964881169,0.45914430392884903,0.19409078106206767,0.846461431517808,1
2,LB - HB,-0.21391987925664355,0.21102583698059335,110.41652209486254,-0.6321060136690081,0.20426625515572103,-1.013714160869867,0.31293536318713366,1
3,LB - HB,-0.08465158657371472,0.21102583698059327,110.41652205007492,-0.5028377209879582,0.33353454784052883,-0.40114323338283736,0.6890899146511451,1
4,LB - HB,-0.16979881359655966,0.2120390577803557,111.85966234281224,-0.5899327821864472,0.2503351549933279,-0.8007902665387651,0.4249506700500195,1
