Condition,Trial,estimated_mean,SE,df,CI_low,CI_high
HB,1,2.0851520195471482,0.18843794339865627,52.156874263499205,1.7070506917104533,2.4632533473838434
HB,2,2.7641643652261596,0.18843794339865616,52.15687426313193,2.386063037389402,3.1422656930629174
HB,3,2.998732266460727,0.18843794339865613,52.15687426332016,2.620630938624002,3.3768335942974526
HB,4,3.4413630287099424,0.1888536885094429,52.58572806304744,3.062500825699545,3.8202252317203396
LB,1,1.978519145797569,0.18042301787045592,49.82186805740909,1.6160967435421352,2.340941548053003
LB,2,2.6575314914765804,0.18042301787045598,49.82186805599252,2.2951090892208903,3.0199538937322705
LB,3,2.892099392711148,0.18042301787045598,49.821868055424616,2.529676990455355,3.254521794966941
LB,4,3.334730154960363,0.1805660784734393,49.98375361732921,2.972049591929986,3.6974107179907403
