source_file,source_path,ID,Block,Condition,trial,clicked_name_column,time_column,internal_column_block,block_header_matches_filename,raw_clicked_names,raw_times,raw_name_count,raw_timestamp_count,first_timestamp,early_artifact_found,removed_movement,adjustment_rule,adjusted_name_count,adjusted_timestamp_count,unmatched_timestamps,names_without_timestamps,raw_arm,raw_head,raw_leg,raw_other,arm,head,leg,other,total,extraction_valid,audit_status,audit_issue
AN06AN18_A_LB.csv,data/s_files/psychopy/AN06AN18_A_LB.csv,AN06AN18,A,LB,01,Klicks_Block_A_01.clicked_name,Klicks_Block_A_01.time,A,TRUE,"['Head_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01']","[0.0005811001174151897, 29.97265820018947, 136.4034273000434, 162.16118890000507, 193.38546730019152]",5,5,5.8110011741518e-4,TRUE,head,removed early timestamp and paired first movement,4,4,0,0,3,1,0,1,3,0,0,1,4,TRUE,OK,
AN06AN18_A_LB.csv,data/s_files/psychopy/AN06AN18_A_LB.csv,AN06AN18,A,LB,02,Klicks_Block_A_02.clicked_name,Klicks_Block_A_02.time,A,TRUE,"['Arms_Block_A_02', 'Other_Block_A_02']","[0.0005284002982079983, 25.591032499913126]",2,2,5.2840029820799e-4,TRUE,arm,removed early timestamp and paired first movement,1,1,0,0,1,0,0,1,0,0,0,1,1,TRUE,OK,
AN06AN18_A_LB.csv,data/s_files/psychopy/AN06AN18_A_LB.csv,AN06AN18,A,LB,03,Klicks_Block_A_03.clicked_name,Klicks_Block_A_03.time,A,TRUE,"['Other_Block_A_03', 'Other_Block_A_03']","[0.0005324999801814556, 81.69028319977224]",2,2,5.3249998018145e-4,TRUE,other,removed early timestamp and paired first movement,1,1,0,0,0,0,0,2,0,0,0,1,1,TRUE,OK,
AN06AN18_A_LB.csv,data/s_files/psychopy/AN06AN18_A_LB.csv,AN06AN18,A,LB,04,Klicks_Block_A_04.clicked_name,Klicks_Block_A_04.time,A,TRUE,"['Other_Block_A_04', 'Arms_Block_A_04']","[0.0005095996893942356, 191.73422049963847]",2,2,5.0959968939423e-4,TRUE,other,removed early timestamp and paired first movement,1,1,0,0,1,0,0,1,1,0,0,0,1,TRUE,OK,
AN06AN18_B_HB.csv,data/s_files/psychopy/AN06AN18_B_HB.csv,AN06AN18,B,HB,01,Klicks_Block_B_01.clicked_name,Klicks_Block_B_01.time,B,TRUE,"['Arms_Block_B_01', 'Head_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01']","[0.0006884997710585594, 25.89121409971267, 32.188729299698025, 103.08146600006148, 127.88909259997308, 164.5933139999397]",5,6,6.8849977105855e-4,TRUE,NA,removed early timestamp; retained all movement names,5,5,0,0,3,1,0,1,3,1,0,1,5,TRUE,OK,
AN06AN18_B_HB.csv,data/s_files/psychopy/AN06AN18_B_HB.csv,AN06AN18,B,HB,02,Klicks_Block_B_02.clicked_name,Klicks_Block_B_02.time,B,TRUE,"['Other_Block_B_02', 'Head_Block_B_02']","[0.0004646996967494488, 78.856013499666]",2,2,4.6469969674944e-4,TRUE,other,removed early timestamp and paired first movement,1,1,0,0,0,1,0,1,0,1,0,0,1,TRUE,OK,
AN06AN18_B_HB.csv,data/s_files/psychopy/AN06AN18_B_HB.csv,AN06AN18,B,HB,03,Klicks_Block_B_03.clicked_name,Klicks_Block_B_03.time,B,TRUE,"['Arms_Block_B_03', 'Arms_Block_B_03', 'Legs_Block_B_03', 'Head_Block_B_03', 'Head_Block_B_03']","[0.000623299740254879, 14.912666799966246, 65.11130059976131, 144.7004416999407, 159.2286050999537]",5,5,6.2329974025487e-4,TRUE,arm,removed early timestamp and paired first movement,4,4,0,0,2,2,1,0,1,2,1,0,4,TRUE,OK,
AN06AN18_B_HB.csv,data/s_files/psychopy/AN06AN18_B_HB.csv,AN06AN18,B,HB,04,Klicks_Block_B_04.clicked_name,Klicks_Block_B_04.time,B,TRUE,"['Head_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04']","[0.0005068001337349415, 51.798869099933654, 201.94779600016773]",3,3,5.0680013373494e-4,TRUE,head,removed early timestamp and paired first movement,2,2,0,0,2,1,0,0,2,0,0,0,2,TRUE,OK,
AN07IE11_A_HB.csv,data/s_files/psychopy/AN07IE11_A_HB.csv,AN07IE11,A,HB,01,Klicks_Block_A_01.clicked_name,Klicks_Block_A_01.time,A,TRUE,"['Head_Block_A_01', 'Other_Block_A_01']","[0.0006488999351859093, 151.6159516996704]",2,2,6.488999351859e-4,TRUE,head,removed early timestamp and paired first movement,1,1,0,0,0,1,0,1,0,0,0,1,1,TRUE,OK,
AN07IE11_A_HB.csv,data/s_files/psychopy/AN07IE11_A_HB.csv,AN07IE11,A,HB,02,Klicks_Block_A_02.clicked_name,Klicks_Block_A_02.time,A,TRUE,['Other_Block_A_02'],[0.0005164002068340778],1,1,5.1640020683407e-4,TRUE,other,removed early timestamp and paired first movement,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,OK,
