ID,Condition,trial_order,Timepoint,Effort,Timepoint_number
CA11UR11,LB,HB_LB,Trial 2,2,2
CA11UR11,LB,HB_LB,Trial 3,2,3
CA11UR11,LB,HB_LB,Trial 4,2,4
CH08TU30,HB,HB_LB,Baseline,0,0
CH08TU30,HB,HB_LB,Trial 1,1,1
CH08TU30,HB,HB_LB,Trial 2,0,2
CH08TU30,HB,HB_LB,Trial 3,1,3
CH08TU30,HB,HB_LB,Trial 4,4,4
CH08TU30,LB,HB_LB,Baseline,0,0
CH08TU30,LB,HB_LB,Trial 1,1,1
CH08TU30,LB,HB_LB,Trial 2,1,2
CH08TU30,LB,HB_LB,Trial 3,1,3
CH08TU30,LB,HB_LB,Trial 4,1,4
CH10AL22,HB,LB_HB,Baseline,1,0
CH10AL22,HB,LB_HB,Trial 1,3,1
CH10AL22,HB,LB_HB,Trial 2,4,2
CH10AL22,HB,LB_HB,Trial 3,4,3
CH10AL22,HB,LB_HB,Trial 4,5,4
CH10AL22,LB,LB_HB,Baseline,1,0
CH10AL22,LB,LB_HB,Trial 1,2,1
CH10AL22,LB,LB_HB,Trial 2,3,2
CH10AL22,LB,LB_HB,Trial 3,3,3
CH10AL22,LB,LB_HB,Trial 4,4,4
CH11RE22,HB,HB_LB,Baseline,0,0
CH11RE22,HB,HB_LB,Trial 1,0,1
CH11RE22,HB,HB_LB,Trial 2,2,2
CH11RE22,HB,HB_LB,Trial 3,2,3
CH11RE22,HB,HB_LB,Trial 4,3,4
CH11RE22,LB,HB_LB,Baseline,0,0
CH11RE22,LB,HB_LB,Trial 1,1,1
CH11RE22,LB,HB_LB,Trial 2,2,2
CH11RE22,LB,HB_LB,Trial 3,3,3
CH11RE22,LB,HB_LB,Trial 4,4,4
CL22OE02,HB,HB_LB,Baseline,1,0
CL22OE02,HB,HB_LB,Trial 1,2,1
CL22OE02,HB,HB_LB,Trial 2,2,2
CL22OE02,HB,HB_LB,Trial 3,2,3
CL22OE02,HB,HB_LB,Trial 4,2,4
CL22OE02,LB,HB_LB,Baseline,2,0
CL22OE02,LB,HB_LB,Trial 1,2,1
CL22OE02,LB,HB_LB,Trial 2,2,2
CL22OE02,LB,HB_LB,Trial 3,2,3
CL22OE02,LB,HB_LB,Trial 4,2,4
CL23ON05,HB,LB_HB,Baseline,1,0
CL23ON05,HB,LB_HB,Trial 1,1,1
CL23ON05,HB,LB_HB,Trial 2,2,2
CL23ON05,HB,LB_HB,Trial 3,2,3
CL23ON05,HB,LB_HB,Trial 4,2,4
CL23ON05,LB,LB_HB,Baseline,0,0
CL23ON05,LB,LB_HB,Trial 1,0,1
CL23ON05,LB,LB_HB,Trial 2,1,2
CL23ON05,LB,LB_HB,Trial 3,1,3
CL23ON05,LB,LB_HB,Trial 4,1,4
DI16UB31,HB,HB_LB,Baseline,1,0
DI16UB31,HB,HB_LB,Trial 1,1,1
DI16UB31,HB,HB_LB,Trial 2,2,2
DI16UB31,HB,HB_LB,Trial 3,2,3
DI16UB31,HB,HB_LB,Trial 4,3,4
