ID,Condition,trial_order,baseline_effort,Trial,Effort
EL30AD28,HB,LB_HB,1,1,2
EL30AD28,HB,LB_HB,1,2,2
EL30AD28,HB,LB_HB,1,3,3
EL30AD28,HB,LB_HB,1,4,3
EL30AD28,LB,LB_HB,1,1,3
EL30AD28,LB,LB_HB,1,2,3
EL30AD28,LB,LB_HB,1,3,2
EL30AD28,LB,LB_HB,1,4,3
HE20UB06,HB,LB_HB,0,1,3
HE20UB06,HB,LB_HB,0,2,4
HE20UB06,HB,LB_HB,0,3,6
HE20UB06,HB,LB_HB,0,4,6
HE20UB06,LB,LB_HB,0,1,0
HE20UB06,LB,LB_HB,0,2,3
HE20UB06,LB,LB_HB,0,3,2
HE20UB06,LB,LB_HB,0,4,5
IN06UE25,HB,HB_LB,0,1,2
IN06UE25,HB,HB_LB,0,2,2
IN06UE25,HB,HB_LB,0,3,3
IN06UE25,HB,HB_LB,0,4,5
IN06UE25,LB,HB_LB,0,1,3
IN06UE25,LB,HB_LB,0,2,4
IN06UE25,LB,HB_LB,0,3,5
IN06UE25,LB,HB_LB,0,4,4
JE06AD10,HB,LB_HB,1,1,2
JE06AD10,HB,LB_HB,1,2,4
JE06AD10,HB,LB_HB,1,3,5
JE06AD10,HB,LB_HB,1,4,6
JE06AD10,LB,LB_HB,0,1,1
JE06AD10,LB,LB_HB,0,2,2
JE06AD10,LB,LB_HB,0,3,3
JE06AD10,LB,LB_HB,0,4,5
JO26EI26,HB,HB_LB,0,1,2
JO26EI26,HB,HB_LB,0,2,2
JO26EI26,HB,HB_LB,0,3,1
JO26EI26,HB,HB_LB,0,4,1
JO26EI26,LB,HB_LB,0,1,2
JO26EI26,LB,HB_LB,0,2,1
JO26EI26,LB,HB_LB,0,3,2
JO26EI26,LB,HB_LB,0,4,1
JU20UC09,HB,LB_HB,3,1,3
JU20UC09,HB,LB_HB,3,2,4
JU20UC09,HB,LB_HB,3,3,4
JU20UC09,HB,LB_HB,3,4,5
JU20UC09,LB,LB_HB,2,1,3
JU20UC09,LB,LB_HB,2,2,3
JU20UC09,LB,LB_HB,2,3,4
JU20UC09,LB,LB_HB,2,4,4
KA09UH17,HB,HB_LB,0,1,1
KA09UH17,HB,HB_LB,0,2,1
KA09UH17,HB,HB_LB,0,3,2
KA09UH17,HB,HB_LB,0,4,2
KA09UH17,LB,HB_LB,0,1,0
KA09UH17,LB,HB_LB,0,2,2
KA09UH17,LB,HB_LB,0,3,2
KA09UH17,LB,HB_LB,0,4,4
KA14RE15,HB,HB_LB,2,1,4
KA14RE15,HB,HB_LB,2,2,5
KA14RE15,HB,HB_LB,2,3,5
KA14RE15,HB,HB_LB,2,4,6
KA14RE15,LB,HB_LB,,1,
KA14RE15,LB,HB_LB,,2,
KA14RE15,LB,HB_LB,,3,
KA14RE15,LB,HB_LB,,4,
KE30IE06,HB,LB_HB,2,1,3
KE30IE06,HB,LB_HB,2,2,4
KE30IE06,HB,LB_HB,2,3,4
KE30IE06,HB,LB_HB,2,4,4
KE30IE06,LB,LB_HB,0,1,2
KE30IE06,LB,LB_HB,0,2,3
KE30IE06,LB,LB_HB,0,3,3
KE30IE06,LB,LB_HB,0,4,4
KO24IE08,HB,HB_LB,0,1,2
KO24IE08,HB,HB_LB,0,2,3
KO24IE08,HB,HB_LB,0,3,3
KO24IE08,HB,HB_LB,0,4,4
KO24IE08,LB,HB_LB,0,1,1
